Dink it sink it,0
Not really liking the new GMM there used to be no politics and was kid friendly. What happened?,1
The first 2 look good the third makes me squirm,0
Dude what if you dunk Oreos in Oreo gravy and sell it like that you could call it gravy covered oreos,1
10:18 the face of arousal,0
Why is this so entertaining to watch in 1.50 speed,0
Rhett: Ya GOt SeXDuSt oN mY pAnTs My dad: walks in im getting the belt...,0
14:25  - Yummm... Durian ice cream!! Tos buat Good Mythical Best Indonesia. ,0
Rhett and Link need to change the name of this show to Juices and Drippings,1
You should make a restaurant that sells everything  that does from the will it episodes,1
Sprite cranberry will it gravy,0
Put unit on pizza :),0
"Couldnt watch the hagfish part, youve gone too far.",0
Anyone know where rhett got that shirt?,0
Who else gagged watching this?,0
I was thinking of something completely different at 3:12 ...,0
"slow the video to 0.25 speed, start @ 13:10",0
I laughed so damn hard when Rhett was talking about how he thought he swallowed it and link is panicking about the taste in mouth,0
Note to self: dont eat while watching will it,0
Dayum thats rare rhett gagging and link swallowing it,0
"How bout a will it season, make seasoning out of various things.",1
Who knew link loves his kids by smuthering them in gravy!,0
"watched the top 5 grossest moments out, found out about the white flag once per year from it, the hag fish would of been my white flag",0
My idea from two years ago :),0
Biologists are still studyingit to see its effects ......and it disintegrated a car.....so we are going to eat it..... welp the show was nice while it was here,0
And will it popcorn,0
Will it m&m,0
That hagfish slime was truly vile. I almost threw up.,0
pOuR iT oN mEh BiScUiT,0
Hehe. I always get a good laugh out of these two,0
Yung Gravy,0
Will it cake?,0
Isnt this a child friendly channel,0
I really wanted to eat my breakfast thank you.,0
Links behaviour in this video proves his status as everyones weird uncle,0
Decided to eat while watching this. Instant regret,0
i hate gravy like if u agree,0
you should do a will it syrup if you have not done it yet,1
0:19 the two different ways you look when the teacher calls on you,0
Rieeot ynte eh awnoei sorry kaleb love yolt,0
Made on my birthday!,0
I thought it went in the trash! XD,0
I have an uncle named dug and he knows his wine,0
I want to try the pizza gravy,0
Really happy I DONT have smell-o-vision,0
